,ranking,school_name,school_type,address,city,zipcode,county,district,is_charter,is_magnet,is_title_i,total_students,fullt_time_teachers,student_teacher_ratio,free_lunch_recipient,white,black,hispanic,asian,total_expenditure_per_pupil,ranking_quartile,type_is_Top 25th Percentile,type_is_50th Percentile,type_is_75th Percentile,type_is_Bottom 25th Percentile,lunch_eligibity_high,lunch_eligibity_high_False,lunch_eligibity_high_True
506,1261,Ps 46 Arthur Tappan,Public,2987 Frederick Douglas Blvd,New York,10039,New York County,New York City Geographic District # 5,No,No,Yes,633,52.0,12.1,92.7,6 (0.9%),306 (48.3%),308 (48.7%),4 (0.6%),,Bottom 25th Percentile,0,0,0,1,True,0,1
507,1263,Kappa V (Knowledge And Power Prep Academy),Public,985 Rockaway Ave,Brooklyn,11212,Kings County,New York City Geographic District #23,No,No,Yes,195,14.0,13.9,90.3,1 (0.5%),169 (86.7%),20 (10.3%),0 (0.0%),,Bottom 25th Percentile,0,0,0,1,True,0,1
508,1266,Is 364 Gateway,Public,1426 Freeport Loop,Brooklyn,11239,Kings County,New York City Geographic District #19,No,No,Yes,331,23.0,14.3,81.6,9 (2.7%),229 (69.2%),86 (26.0%),2 (0.6%),,Bottom 25th Percentile,0,0,0,1,True,0,1
509,1267,Middle School 250 West Side Collaborative Middle School,Public,735 W End Ave,New York,10025,New York County,New York City Geographic District # 3,No,No,Yes,159,17.0,9.3,69.2,12 (7.5%),59 (37.1%),79 (49.7%),1 (0.6%),,Bottom 25th Percentile,0,0,0,1,False,1,0
510,1268,Is 49 Berta A Dreyfus,Public,101 Warren St,Staten Island,10304,Richmond County,New York City Geographic District #31,No,No,Yes,541,51.0,10.6,90.0,39 (7.2%),189 (34.9%),259 (47.9%),46 (8.5%),,Bottom 25th Percentile,0,0,0,1,True,0,1
511,1269,Highbridge Green School (The),Public,200 W 167th St,Bronx,10452,Bronx County,New York City Geographic District # 9,No,No,Yes,379,39.0,9.7,96.8,6 (1.6%),79 (20.8%),290 (76.5%),0 (0.0%),,Bottom 25th Percentile,0,0,0,1,True,0,1
512,1273,Catherine & Count Basie Middle School 72,Public,133-25 Guy R Brewer Blvd,Jamaica,11434,Queens County,New York City Geographic District #28,No,No,Yes,342,30.0,11.3,81.0,9 (2.6%),232 (67.8%),56 (16.4%),20 (5.8%),,Bottom 25th Percentile,0,0,0,1,True,0,1
513,1274,Ps 180 Hugo Newman,Public,370 W 120th St,New York,10027,New York County,New York City Geographic District # 3,No,No,Yes,518,42.0,12.3,68.7,64 (12.4%),267 (51.5%),145 (28.0%),14 (2.7%),,Bottom 25th Percentile,0,0,0,1,False,1,0
514,1276,Ps 34 Franklin D Roosevelt,Public,730 E 12th St,New York,10009,New York County,New York City Geographic District # 1,No,No,Yes,305,33.0,9.2,98.7,9 (3.0%),102 (33.4%),181 (59.3%),8 (2.6%),,Bottom 25th Percentile,0,0,0,1,True,0,1
515,1279,Middle School Of Media Law And Fine Arts (The),Public,905 Winthrop St,Brooklyn,11203,Kings County,New York City Geographic District #18,No,No,Yes,0,15.0,0.0,,,,,,,Bottom 25th Percentile,0,0,0,1,False,1,0
516,1280,Academy For College Prep And Career Exp,Public,911 Flatbush Ave,Brooklyn,11226,Kings County,New York City Geographic District #17,No,No,Yes,359,22.0,16.3,83.3,8 (2.2%),272 (75.8%),58 (16.2%),0 (0.0%),,Bottom 25th Percentile,0,0,0,1,True,0,1
517,1281,Ps 308 Clara Cardwell,Public,616 Quincy St,Brooklyn,11221,Kings County,New York City Geographic District #16,No,No,Yes,251,27.0,9.2,92.4,2 (0.8%),188 (74.9%),49 (19.5%),5 (2.0%),,Bottom 25th Percentile,0,0,0,1,True,0,1
518,1282,International School For Liberal Arts,Public,2780 Reservoir Ave,Bronx,10468,Bronx County,New York City Geographic District #10,No,No,Yes,517,40.0,12.9,98.1,0 (0.0%),1 (0.2%),515 (99.6%),1 (0.2%),,Bottom 25th Percentile,0,0,0,1,True,0,1
519,1283,Harbor Heights,Public,306 Fort Washington Ave,New York,10033,New York County,New York City Geographic District # 6,No,No,Yes,120,10.0,11.9,97.5,0 (0.0%),0 (0.0%),120 (100.0%),0 (0.0%),,Bottom 25th Percentile,0,0,0,1,True,0,1
520,1286,Satellite East Middle School,Public,31 New York Ave,Brooklyn,11216,Kings County,New York City Geographic District #13,No,No,Yes,93,11.0,8.4,94.6,4 (4.3%),63 (67.7%),15 (16.1%),7 (7.5%),,Bottom 25th Percentile,0,0,0,1,True,0,1
521,1289,Community Math And Science Prep,Public,401 W 164th St,New York,10032,New York County,New York City Geographic District # 6,No,No,Yes,207,24.0,8.6,97.6,8 (3.9%),17 (8.2%),176 (85.0%),6 (2.9%),,Bottom 25th Percentile,0,0,0,1,True,0,1
522,1292,Is 318 Math Science & Technology Through Arts,Public,1919 Prospect Ave,Bronx,10457,Bronx County,New York City Geographic District #12,No,No,Yes,255,24.0,10.6,94.5,2 (0.8%),84 (32.9%),165 (64.7%),2 (0.8%),,Bottom 25th Percentile,0,0,0,1,True,0,1
523,1293,Esperanza Preparatory Academy,Public,240 E 109th St,New York,10029,New York County,New York City Geographic District # 4,No,No,Yes,571,54.0,10.5,87.6,9 (1.6%),58 (10.2%),491 (86.0%),8 (1.4%),,Bottom 25th Percentile,0,0,0,1,True,0,1
