,ranking,school_name,school_type,address,city,zipcode,county,district,is_charter,is_magnet,is_title_i,total_students,fullt_time_teachers,student_teacher_ratio,free_lunch_recipient,white,black,hispanic,asian,total_expenditure_per_pupil,ranking_quartile,type_is_Top 25th Percentile,type_is_50th Percentile,type_is_75th Percentile,type_is_Bottom 25th Percentile,lunch_eligibity_high,lunch_eligibity_high_False,lunch_eligibity_high_True
0,1,Baccalaureate School For Global Education,Public,34-12 36th Ave,Long Island City,11106,Queens County,New York City Geographic District #30,No,No,No,536,30.0,17.9,35.6,144 (26.9%),21 (3.9%),101 (18.8%),247 (46.1%),"$11,568 ",Top 25th Percentile,1,0,0,0,False,1,0
1,2,Success Academy Charter School-Bronx 2,"Public, Charter",450 St Paul's Pl-5th Fl,Bronx,10456,Bronx County,Success Academy Charter School-Bronx 2,Yes,No,Yes,754,41.0,18.3,87.3,10 (1.3%),474 (62.9%),257 (34.1%),6 (0.8%),"$16,154 ",Top 25th Percentile,1,0,0,0,True,0,1
2,3,Ps 122 Mamie Fay,Public,21-21 Ditmars Blvd,Astoria,11105,Queens County,New York City Geographic District #30,No,No,No,1362,75.0,18.1,47.6,623 (45.7%),53 (3.9%),262 (19.2%),346 (25.4%),"$10,762 ",Top 25th Percentile,1,0,0,0,False,1,0
3,4,Anderson School (The),Public,100 W 77th St,New York,10024,New York County,New York City Geographic District # 3,No,No,No,521,26.0,20.0,15.0,250 (48.0%),13 (2.5%),47 (9.0%),152 (29.2%),"$10,823 ",Top 25th Percentile,1,0,0,0,False,1,0
4,5,Success Academy Charter School-Harlem 3,"Public, Charter, Alternative",410 E 100th St-4th Fl,New York,10029,New York County,Success Academy Charter School-Harlem 3,Yes,No,Yes,1111,67.0,16.7,74.5,19 (1.7%),584 (52.6%),366 (32.9%),12 (1.1%),"$24,480 ",Top 25th Percentile,1,0,0,0,True,0,1
5,6,Success Academy Charter School-Union Square,"Public, Charter",40 Irving Pl-2nd Fl,New York,10003,New York County,Success Academy Charter School-Union Square,Yes,No,Yes,720,48.0,14.9,44.3,183 (25.4%),150 (20.8%),203 (28.2%),140 (19.4%),"$18,938 ",Top 25th Percentile,1,0,0,0,False,1,0
6,7,New Explorations Into Sciencetech And Math High School,"Public, Alternative",111 Columbia St,New York,10002,New York County,New York City Geographic District # 1,No,No,No,1752,95.0,18.4,23.5,710 (40.5%),123 (7.0%),202 (11.5%),578 (33.0%),"$10,124 ",Top 25th Percentile,1,0,0,0,False,1,0
7,8,Success Academy Charter School-Harlem 5,"Public, Charter",301 W 140th St-3rd Fl,New York,10030,New York County,Success Academy Charter School-Harlem 5,Yes,No,Yes,748,55.0,13.6,78.6,14 (1.9%),506 (67.6%),198 (26.5%),8 (1.1%),"$17,461 ",Top 25th Percentile,1,0,0,0,True,0,1
8,9,Success Academy Charter School - Bed Stuy 1,"Public, Charter",70 Tompkins Ave-2nd Fl,Brooklyn,11206,Kings County,Success Academy Charter School - Bed Stuy 1,Yes,No,Yes,766,52.0,14.7,73.0,15 (2.0%),512 (66.8%),210 (27.4%),11 (1.4%),"$17,417 ",Top 25th Percentile,1,0,0,0,True,0,1
9,10,30th Avenue School (The) (G & T Citywide),Public,28-37 29th St,Astoria,11102,Queens County,New York City Geographic District #30,No,No,No,512,30.0,17.0,24.8,153 (29.9%),22 (4.3%),51 (10.0%),230 (44.9%),"$10,244 ",Top 25th Percentile,1,0,0,0,False,1,0
10,11,Is 187 Christa McAuliffe School (The),Public,1171 65th St,Brooklyn,11219,Kings County,New York City Geographic District #20,No,No,No,952,55.0,17.3,60.7,218 (22.9%),12 (1.3%),54 (5.7%),653 (68.6%),"$12,831 ",Top 25th Percentile,1,0,0,0,False,1,0
11,12,Success Academy Charter School-Prospect Heights,"Public, Charter",801 Park Pl-4th Fl,Brooklyn,11216,Kings County,Success Academy Charter School-Prospect Heights,Yes,No,Yes,630,44.0,14.3,68.1,27 (4.3%),476 (75.6%),102 (16.2%),16 (2.5%),"$19,693 ",Top 25th Percentile,1,0,0,0,False,1,0
12,13,Special Music School,"Public, Alternative",129 W 67th St,New York,10023,New York County,New York City Geographic District # 3,No,No,No,313,24.0,13.0,22.0,144 (46.0%),31 (9.9%),44 (14.1%),45 (14.4%),"$14,918 ",Top 25th Percentile,1,0,0,0,False,1,0
13,14,East Side Middle School,Public,331 E 91st St,New York,10028,New York County,New York City Geographic District # 2,No,No,No,450,30.0,15.0,16.2,289 (64.2%),13 (2.9%),52 (11.6%),62 (13.8%),"$12,293 ",Top 25th Percentile,1,0,0,0,False,1,0
14,15,Tag Young Scholars,Public,240 E 109th St,New York,10029,New York County,New York City Geographic District # 4,No,No,No,594,24.0,24.7,34.3,101 (17.0%),99 (16.7%),90 (15.2%),231 (38.9%),"$9,029 ",Top 25th Percentile,1,0,0,0,False,1,0
15,16,Middle School 255 Salk School Of Science,Public,320 E 20th St,New York,10003,New York County,New York City Geographic District # 2,No,No,No,395,25.0,15.8,14.4,245 (62.0%),8 (2.0%),38 (9.6%),71 (18.0%),"$12,672 ",Top 25th Percentile,1,0,0,0,False,1,0
16,17,Is 98 Bay Academy,Public,1401 Emmons Ave,Brooklyn,11235,Kings County,New York City Geographic District #21,No,No,No,1562,70.0,22.3,51.4,900 (57.6%),40 (2.6%),136 (8.7%),428 (27.4%),"$10,050 ",Top 25th Percentile,1,0,0,0,False,1,0
17,18,South Bronx Classical Charter School,"Public, Charter",977 Fox St,Bronx,10459,Bronx County,South Bronx Classical Charter School,Yes,No,Yes,503,44.0,11.4,73.6,10 (2.0%),196 (39.0%),281 (55.9%),11 (2.2%),"$16,934 ",Top 25th Percentile,1,0,0,0,True,0,1
18,19,Clinton School (The),Public,10 E 15th St,New York,10003,New York County,New York City Geographic District # 2,No,No,No,721,51.0,14.1,16.0,459 (63.7%),28 (3.9%),89 (12.3%),92 (12.8%),"$11,766 ",Top 25th Percentile,1,0,0,0,False,1,0
19,20,Success Academy Charter School-Harlem 2,"Public, Charter",144 E 128th St-3rd Fl,New York,10035,New York County,Success Academy Charter School-Harlem 2,Yes,No,Yes,708,63.0,11.1,79.8,15 (2.1%),463 (65.4%),217 (30.6%),6 (0.8%),"$18,126 ",Top 25th Percentile,1,0,0,0,True,0,1
20,21,Success Academy Charter School-Upper West,"Public, Charter",145 W 84th St-2nd Fl,New York,10024,New York County,Success Academy Charter School-Upper West,Yes,No,Yes,790,60.0,13.1,46.3,200 (25.3%),160 (20.3%),300 (38.0%),97 (12.3%),"$16,445 ",Top 25th Percentile,1,0,0,0,False,1,0
21,22,Nyc Lab Middle School For Collaborative Studies,Public,333 W 17th St,New York,10011,New York County,New York City Geographic District # 2,No,No,No,563,36.0,15.6,34.6,131 (23.3%),7 (1.2%),30 (5.3%),358 (63.6%),"$11,966 ",Top 25th Percentile,1,0,0,0,False,1,0
22,23,Brooklyn School Of Inquiry,Public,50 Ave P,Brooklyn,11218,Kings County,New York City Geographic District #20,No,No,No,534,28.0,19.0,26.6,356 (66.7%),28 (5.2%),25 (4.7%),107 (20.0%),"$11,330 ",Top 25th Percentile,1,0,0,0,False,1,0
23,24,Scholars' Academy,Public,320 Beach 104th St,Rockaway Park,11694,Queens County,New York City Geographic District #27,No,No,No,1348,71.0,18.9,47.1,563 (41.8%),232 (17.2%),264 (19.6%),252 (18.7%),"$10,256 ",Top 25th Percentile,1,0,0,0,False,1,0
24,26,Columbia Secondary School,Public,425 W 123rd St,New York,10027,New York County,New York City Geographic District # 5,No,No,No,716,47.0,15.2,48.5,187 (26.1%),147 (20.5%),280 (39.1%),58 (8.1%),"$12,369 ",Top 25th Percentile,1,0,0,0,False,1,0
25,27,Ps 235 Janice Marie Knight School,Public,525 Lenox Rd,Brooklyn,11203,Kings County,New York City Geographic District #18,No,No,Yes,1224,69.0,17.7,65.0,15 (1.2%),"1,132 (92.5%)",36 (2.9%),10 (0.8%),"$12,800 ",Top 25th Percentile,1,0,0,0,False,1,0
26,28,Middle School 243 Center School,Public,100 W 84th St,New York,10024,New York County,New York City Geographic District # 3,No,No,No,240,16.0,14.9,13.8,136 (56.7%),25 (10.4%),44 (18.3%),12 (5.0%),"$13,080 ",Top 25th Percentile,1,0,0,0,False,1,0
27,29,Mark Twain Is 239 For The Gifted And Talented,Public,2401 Neptune Ave,Brooklyn,11224,Kings County,New York City Geographic District #21,No,No,No,1337,74.0,18.0,35.3,684 (51.2%),85 (6.4%),95 (7.1%),355 (26.6%),"$11,571 ",Top 25th Percentile,1,0,0,0,False,1,0
28,30,Queens Gateway To Health Sciences Secondary School,Public,160-20 Goethals Ave,Jamaica,11432,Queens County,New York City Geographic District #28,No,No,No,711,40.0,17.8,55.0,36 (5.1%),179 (25.2%),70 (9.8%),349 (49.1%),"$11,596 ",Top 25th Percentile,1,0,0,0,False,1,0
29,31,All City Leadership Secondary School,Public,321 Palmetto St,Brooklyn,11237,Kings County,New York City Geographic District #32,No,No,Yes,432,21.0,20.5,81.0,40 (9.3%),38 (8.8%),325 (75.2%),27 (6.3%),"$11,327 ",Top 25th Percentile,1,0,0,0,True,0,1
30,33,Success Academy Charter School-Harlem 1,"Public, Charter, Alternative",34 W 118th St-2nd Fl,New York,10026,New York County,Success Academy Charter School-Harlem 1,Yes,No,Yes,1225,96.0,12.8,72.9,18 (1.5%),825 (67.3%),266 (21.7%),11 (0.9%),"$21,339 ",Top 25th Percentile,1,0,0,0,True,0,1
31,36,Junior High School 54 Booker T Washington,Public,103 W 107th St,New York,10025,New York County,New York City Geographic District # 3,No,No,No,869,52.0,16.7,19.4,488 (56.2%),69 (7.9%),136 (15.7%),97 (11.2%),"$11,692 ",50th Percentile,0,1,0,0,False,1,0
32,40,Mott Hall School (The),Public,71-111 Convent Ave,New York,10027,New York County,New York City Geographic District # 6,No,No,Yes,301,21.0,14.6,77.4,19 (6.3%),24 (8.0%),243 (80.7%),9 (3.0%),"$15,219 ",50th Percentile,0,1,0,0,True,0,1
33,44,Ps 184 Shuang Wen,Public,327 Cherry St-2nd Fl,New York,10002,New York County,New York City Geographic District # 1,No,No,Yes,675,51.0,13.2,67.7,51 (7.6%),27 (4.0%),86 (12.7%),467 (69.2%),"$15,486 ",50th Percentile,0,1,0,0,False,1,0
34,45,Icahn Charter School 5,"Public, Charter",1500 Pelham Pkwy S,Bronx,10461,Bronx County,Icahn Charter School 5,Yes,No,Yes,319,28.0,11.3,69.6,17 (5.3%),184 (57.7%),100 (31.3%),14 (4.4%),"$16,267 ",50th Percentile,0,1,0,0,False,1,0
35,46,Math And Science Exploratory School (The),Public,345 Dean St,Brooklyn,11217,Kings County,New York City Geographic District #15,No,No,No,545,52.0,10.4,27.2,290 (53.2%),62 (11.4%),111 (20.4%),56 (10.3%),"$18,334 ",50th Percentile,0,1,0,0,False,1,0
36,47,Middle School 51 William Alexander,Public,350 5th Ave,Brooklyn,11215,Kings County,New York City Geographic District #15,No,No,No,1134,65.0,17.4,32.2,562 (49.6%),75 (6.6%),238 (21.0%),196 (17.3%),"$12,059 ",50th Percentile,0,1,0,0,False,1,0
37,48,Academic Leadership Charter School,"Public, Charter",677 E 141st St,Bronx,10454,Bronx County,Academic Leadership Charter School,Yes,No,Yes,523,20.0,26.1,92.9,7 (1.3%),260 (49.7%),247 (47.2%),2 (0.4%),"$8,306 ",50th Percentile,0,1,0,0,True,0,1
38,49,Robert F Wagner Junior Secondary School For Arts And Technology,Public,47-07 30th Pl,Long Island City,11101,Queens County,New York City Geographic District #24,No,No,Yes,648,41.0,15.7,73.1,101 (15.6%),35 (5.4%),351 (54.2%),145 (22.4%),"$12,522 ",50th Percentile,0,1,0,0,True,0,1
39,52,Ps 126 Jacob August Riis,Public,80 Catherine St,New York,10038,New York County,New York City Geographic District # 2,No,No,Yes,711,56.0,12.6,76.5,47 (6.6%),60 (8.4%),122 (17.2%),457 (64.3%),"$16,880 ",50th Percentile,0,1,0,0,True,0,1
40,53,Ballet Technical/Nyc Public School For Dance,Public,890 Broadway,New York,10003,New York County,New York City Geographic District # 2,No,No,No,141,13.0,10.8,44.7,31 (22.0%),25 (17.7%),35 (24.8%),38 (27.0%),"$15,510 ",50th Percentile,0,1,0,0,False,1,0
41,56,Institute For Collaborative Education,Public,345 E 15th St,New York,10003,New York County,New York City Geographic District # 2,No,No,No,484,28.0,17.2,27.5,231 (47.7%),108 (22.3%),93 (19.2%),32 (6.6%),"$10,106 ",50th Percentile,0,1,0,0,False,1,0
42,57,Achievement First East New York Charter School,"Public, Charter, Alternative",557 Pennsylvania Ave,Brooklyn,11207,Kings County,Achievement First East New York Charter School,Yes,No,Yes,0,64.0,0.0,,,,,,"$17,746 ",50th Percentile,0,1,0,0,False,1,0
43,59,New Voices School Of Academic And Creative Arts,Public,330 18th St,Brooklyn,11215,Kings County,New York City Geographic District #15,No,No,No,579,36.0,16.0,28.5,306 (52.8%),42 (7.3%),170 (29.4%),37 (6.4%),"$13,117 ",50th Percentile,0,1,0,0,False,1,0
44,60,Medgar Evers College Preparatory School,Public,1186 Carroll St,Brooklyn,11225,Kings County,New York City Geographic District #17,No,No,Yes,1339,69.0,19.3,66.9,12 (0.9%),"1,167 (87.2%)",70 (5.2%),24 (1.8%),"$9,852 ",50th Percentile,0,1,0,0,False,1,0
45,61,Achievement First-Bushwick Charter School,"Public, Charter",1300 Greene Ave,Brooklyn,11237,Kings County,Achievement First-Bushwick Charter School,Yes,No,Yes,914,85.0,10.7,85.1,14 (1.5%),240 (26.3%),645 (70.6%),9 (1.0%),"$19,390 ",50th Percentile,0,1,0,0,True,0,1
46,63,Queens College School For Math Science & Technology (The),Public,148-20 Reeves Ave,Flushing,11367,Queens County,New York City Geographic District #25,No,No,No,516,29.0,17.7,45.3,37 (7.2%),102 (19.8%),76 (14.7%),272 (52.7%),"$11,311 ",50th Percentile,0,1,0,0,False,1,0
47,67,Junior High School 167 Robert F Wagner,Public,220 E 76th St,New York,10021,New York County,New York City Geographic District # 2,No,No,No,1378,86.0,16.0,30.3,733 (53.2%),96 (7.0%),225 (16.3%),244 (17.7%),"$11,327 ",50th Percentile,0,1,0,0,False,1,0
48,68,Junior High School 216 George J Ryan,Public,64-20 175th St,Flushing,11365,Queens County,New York City Geographic District #26,No,No,No,1513,86.0,17.5,68.9,203 (13.4%),72 (4.8%),210 (13.9%),992 (65.6%),"$10,856 ",50th Percentile,0,1,0,0,False,1,0
49,71,Junior High School 67 Louis Pasteur,Public,51-60 Marathon Pkwy,Little Neck,11362,Queens County,New York City Geographic District #26,No,No,No,951,53.0,17.9,42.7,186 (19.6%),34 (3.6%),125 (13.1%),585 (61.5%),"$10,699 ",50th Percentile,0,1,0,0,False,1,0
50,72,Professional Performing Arts High School,Public,328 W 48th St,New York,10036,New York County,New York City Geographic District # 2,No,No,No,562,30.0,18.5,34.9,256 (45.6%),115 (20.5%),115 (20.5%),35 (6.2%),"$11,685 ",50th Percentile,0,1,0,0,False,1,0
51,74,Icahn Charter School 2,"Public, Charter",1640 Bronxdale Ave,Bronx,10462,Bronx County,Icahn Charter School 2,Yes,No,Yes,325,24.0,13.5,64.9,11 (3.4%),102 (31.4%),188 (57.8%),15 (4.6%),"$18,507 ",50th Percentile,0,1,0,0,False,1,0
52,76,Battery Park City School,Public,55 Battery Pl,New York,10011,New York County,New York City Geographic District # 2,No,No,No,850,62.0,13.7,15.2,449 (52.8%),34 (4.0%),116 (13.6%),169 (19.9%),"$13,856 ",50th Percentile,0,1,0,0,False,1,0
53,79,Yorkville East Middle School,Public,1458 York Ave,New York,10075,New York County,New York City Geographic District # 2,No,No,No,230,18.0,12.7,30.0,133 (57.8%),20 (8.7%),53 (23.0%),15 (6.5%),"$15,634 ",50th Percentile,0,1,0,0,False,1,0
54,80,Junior High School 74 Nathaniel Hawthorne,Public,61-15 Oceania St,Bayside,11361,Queens County,New York City Geographic District #26,No,No,No,1156,70.0,16.5,46.2,194 (16.8%),40 (3.5%),131 (11.3%),762 (65.9%),"$12,787 ",50th Percentile,0,1,0,0,False,1,0
55,81,Central Queens Academy Charter School,"Public, Charter",55-30 Junction Blvd,Elmhurst,11373,Queens County,Central Queens Academy Charter School,Yes,No,Yes,420,33.0,12.7,84.5,18 (4.3%),45 (10.7%),285 (67.9%),70 (16.7%),"$16,790 ",50th Percentile,0,1,0,0,True,0,1
56,82,Young Women's Leadership School-Queens,Public,150-91 87th Rd,Jamaica,11432,Queens County,New York City Geographic District #28,No,No,Yes,549,37.0,14.8,70.7,14 (2.6%),224 (40.8%),65 (11.8%),202 (36.8%),"$12,006 ",50th Percentile,0,1,0,0,False,1,0
57,83,Junior High School 104 Simon Baruch,Public,330 E 21st St,New York,10010,New York County,New York City Geographic District # 2,No,No,No,1117,71.0,15.7,42.7,391 (35.0%),84 (7.5%),197 (17.6%),384 (34.4%),"$11,972 ",50th Percentile,0,1,0,0,False,1,0
58,84,West End Secondary School,Public,227-243 W 61st St,New York,10023,New York County,New York City Geographic District # 3,No,No,No,431,20.0,21.5,17.6,279 (64.7%),24 (5.6%),86 (20.0%),27 (6.3%),"$13,038 ",50th Percentile,0,1,0,0,False,1,0
59,85,Junior High School 201 Dyker Heights (The),Public,8010 12th Ave,Brooklyn,11228,Kings County,New York City Geographic District #20,No,No,Yes,1652,85.0,19.4,72.6,477 (28.9%),9 (0.5%),263 (15.9%),891 (53.9%),"$11,680 ",50th Percentile,0,1,0,0,True,0,1
60,86,Is 227 Louis Armstrong,Public,32-02 Junction Blvd,East Elmhurst,11369,Queens County,New York City Geographic District #30,No,No,Yes,1588,94.0,16.8,69.2,421 (26.5%),128 (8.1%),799 (50.3%),208 (13.1%),"$12,694 ",50th Percentile,0,1,0,0,False,1,0
61,87,Icahn Charter School 3,"Public, Charter",1500 Pelham Pkwy S,Bronx,10461,Bronx County,Icahn Charter School 3,Yes,No,Yes,322,26.0,12.1,80.4,7 (2.2%),202 (62.7%),97 (30.1%),10 (3.1%),"$16,199 ",50th Percentile,0,1,0,0,True,0,1
62,92,Middle School 245 Computer School (The),Public,100 W 77th St,New York,10024,New York County,New York City Geographic District # 3,No,No,No,403,27.0,14.9,28.5,180 (44.7%),51 (12.7%),116 (28.8%),30 (7.4%),"$13,264 ",50th Percentile,0,1,0,0,False,1,0
63,95,Science Technology & Research Early College,Public,911 Flatbush Ave,Brooklyn,11226,Kings County,New York City Geographic District #17,No,No,Yes,572,31.0,18.4,77.6,7 (1.2%),441 (77.1%),75 (13.1%),20 (3.5%),"$12,972 ",50th Percentile,0,1,0,0,True,0,1
64,96,Achievement First Apollo Charter School,"Public, Charter",350 Linwood St,Brooklyn,11208,Kings County,Achievement First Apollo Charter School,Yes,No,Yes,865,78.0,11.0,89.1,7 (0.8%),499 (57.7%),291 (33.6%),48 (5.5%),"$15,085 ",50th Percentile,0,1,0,0,True,0,1
65,99,Hellenic Classical Charter School,"Public, Charter",646 5th Ave,Brooklyn,11215,Kings County,Hellenic Classical Charter School,Yes,No,Yes,477,36.0,13.2,54.3,153 (32.1%),68 (14.3%),218 (45.7%),15 (3.1%),"$18,826 ",50th Percentile,0,1,0,0,False,1,0
66,103,Academy Of Arts And Letters,Public,225 Adelphi St,Brooklyn,11205,Kings County,New York City Geographic District #13,No,No,No,526,36.0,14.6,22.4,207 (39.4%),157 (29.8%),81 (15.4%),25 (4.8%),"$13,230 ",50th Percentile,0,1,0,0,False,1,0
67,106,Neighborhood Charter School Of Harlem,"Public, Charter",691 St Nicholas Ave,New York,10030,New York County,Neighborhood Charter School Of Harlem,Yes,No,Yes,585,62.0,9.4,73.2,13 (2.2%),265 (45.3%),287 (49.1%),10 (1.7%),"$26,504 ",50th Percentile,0,1,0,0,True,0,1
68,110,East-West School Of International Studies,Public,46-21 Colden St,Flushing,11355,Queens County,New York City Geographic District #25,No,No,Yes,651,58.0,11.2,81.9,31 (4.8%),43 (6.6%),115 (17.7%),445 (68.4%),"$16,215 ",50th Percentile,0,1,0,0,True,0,1
69,112,Ps 171 Patrick Henry,Public,19 E 103rd St,New York,10029,New York County,New York City Geographic District # 4,No,No,Yes,772,48.0,16.0,70.5,30 (3.9%),209 (27.1%),441 (57.1%),58 (7.5%),"$13,780 ",50th Percentile,0,1,0,0,False,1,0
70,115,Is 289,Public,201 Warren St,New York,10282,New York County,New York City Geographic District # 2,No,No,No,283,20.0,14.1,52.7,84 (29.7%),12 (4.2%),41 (14.5%),138 (48.8%),"$13,544 ",50th Percentile,0,1,0,0,False,1,0
71,116,KIPP Nyc Washington Heights Academy Charter School,"Public, Charter",21 Jumel Pl-Rm D109,New York,10032,New York County,KIPP Nyc Washington Heights Academy Charter School,Yes,No,Yes,1050,76.0,13.8,88.8,9 (0.9%),110 (10.5%),923 (87.9%),0 (0.0%),"$20,079 ",50th Percentile,0,1,0,0,True,0,1
72,117,Brooklyn Prospect Charter School-Central School District 13,"Public, Charter",80 Willoughby St,Brooklyn,11201,Kings County,Brooklyn Prospect Charter School-Central School District 13,Yes,No,Yes,701,61.0,11.4,32.7,249 (35.5%),247 (35.2%),105 (15.0%),32 (4.6%),"$21,091 ",50th Percentile,0,1,0,0,False,1,0
73,118,Icahn Charter School 6,"Public, Charter",1701 Fulton Ave,Bronx,10457,Bronx County,Icahn Charter School 6,Yes,No,Yes,355,29.0,12.2,96.3,2 (0.6%),197 (55.5%),150 (42.3%),3 (0.8%),"$17,715 ",50th Percentile,0,1,0,0,True,0,1
74,119,Icahn Charter School 4,"Public, Charter",1500 Pelham Pkwy South,Bronx,10461,Bronx County,Icahn Charter School 4,Yes,No,Yes,317,29.0,10.9,74.4,8 (2.5%),197 (62.1%),93 (29.3%),10 (3.2%),"$17,765 ",50th Percentile,0,1,0,0,True,0,1
75,120,Junior High School 259 William McKinley,Public,7301 Ft Hamilton Pkwy,Brooklyn,11228,Kings County,New York City Geographic District #20,No,No,Yes,1886,102.0,18.4,79.0,631 (33.5%),13 (0.7%),366 (19.4%),851 (45.1%),"$12,161 ",50th Percentile,0,1,0,0,True,0,1
76,123,Lower Manhattan Community Middle School,Public,26 Broadway,New York,10004,New York County,New York City Geographic District # 2,No,No,No,385,32.0,12.0,54.5,104 (27.0%),39 (10.1%),61 (15.8%),166 (43.1%),"$15,538 ",50th Percentile,0,1,0,0,False,1,0
77,124,Ps 333 Manhattan School For Children,Public,154 W 93rd St,New York,10025,New York County,New York City Geographic District # 3,No,No,No,755,43.0,17.5,17.0,441 (58.4%),98 (13.0%),120 (15.9%),45 (6.0%),"$14,649 ",50th Percentile,0,1,0,0,False,1,0
78,128,Middle School 158 Marie Curie,Public,46-35 Oceania St,Bayside,11361,Queens County,New York City Geographic District #26,No,No,No,1078,61.0,17.6,55.3,159 (14.7%),45 (4.2%),165 (15.3%),682 (63.3%),"$11,250 ",50th Percentile,0,1,0,0,False,1,0
79,130,Bell Academy,Public,18-25 212th St,Bayside,11360,Queens County,New York City Geographic District #25,No,No,No,364,23.0,15.8,41.8,113 (31.0%),14 (3.8%),96 (26.4%),133 (36.5%),"$15,397 ",50th Percentile,0,1,0,0,False,1,0
80,131,Icahn Charter School 7,"Public, Charter",1535 Story Ave,Bronx,10473,Bronx County,Icahn Charter School 7,Yes,No,Yes,263,21.0,12.5,73.0,3 (1.1%),123 (46.8%),125 (47.5%),10 (3.8%),"$19,238 ",50th Percentile,0,1,0,0,True,0,1
81,136,Icahn Charter School 1,"Public, Charter",1525 Brook Ave,Bronx,10457,Bronx County,Icahn Charter School 1,Yes,No,Yes,332,28.0,11.8,99.1,0 (0.0%),167 (50.3%),161 (48.5%),3 (0.9%),"$18,641 ",50th Percentile,0,1,0,0,True,0,1
82,137,KIPP Academy Charter School,"Public, Charter, Alternative",250 E 156th St-4th Fl,Bronx,10451,Bronx County,KIPP Academy Charter School,Yes,No,Yes,1061,83.0,12.7,86.9,7 (0.7%),445 (41.9%),594 (56.0%),1 (0.1%),"$29,148 ",50th Percentile,0,1,0,0,True,0,1
83,145,Seeall Academy (The),Public,5601 16th Ave,Brooklyn,11204,Kings County,New York City Geographic District #20,No,No,Yes,1074,91.0,11.8,86.2,257 (23.9%),15 (1.4%),312 (29.1%),475 (44.2%),"$16,741 ",50th Percentile,0,1,0,0,True,0,1
84,150,Spruce Street School,Public,12 Spruce St,New York,10018,New York County,New York City Geographic District # 2,No,No,No,559,38.0,14.6,17.4,296 (53.0%),22 (3.9%),90 (16.1%),92 (16.5%),"$13,913 ",50th Percentile,0,1,0,0,False,1,0
85,151,Is 34 Tottenville,Public,528 Academy Ave,Staten Island,10307,Richmond County,New York City Geographic District #31,No,No,No,1063,76.0,13.9,37.8,846 (79.6%),9 (0.8%),141 (13.3%),56 (5.3%),"$16,266 ",50th Percentile,0,1,0,0,False,1,0
86,153,Grand Concourse Academy Charter School,"Public, Charter",625 Bolton Ave,Bronx,10473,Bronx County,Grand Concourse Academy Charter School,Yes,No,Yes,579,44.0,13.1,80.0,11 (1.9%),187 (32.3%),342 (59.1%),20 (3.5%),"$15,477 ",50th Percentile,0,1,0,0,True,0,1
87,157,Young Womens Leadership School - Astoria,Public,23-15 Newtown Ave,Long Island City,11105,Queens County,New York City Geographic District #30,No,No,Yes,580,41.0,14.1,79.0,99 (17.1%),45 (7.8%),234 (40.3%),188 (32.4%),"$11,985 ",50th Percentile,0,1,0,0,True,0,1
88,158,Washington Heights Academy,Public,202 Sherman Ave,New York,10034,New York County,New York City Geographic District # 6,No,No,Yes,592,35.0,16.9,86.0,12 (2.0%),12 (2.0%),554 (93.6%),10 (1.7%),"$14,534 ",50th Percentile,0,1,0,0,True,0,1
89,159,Achievement First Brownsville Charter School,"Public, Charter, Alternative",2021 Bergen St-Rm 149,Brooklyn,11233,Kings County,Achievement First Brownsville Charter School,Yes,No,Yes,1099,60.0,18.3,74.9,11 (1.0%),932 (84.8%),133 (12.1%),9 (0.8%),"$17,816 ",50th Percentile,0,1,0,0,True,0,1
90,160,KIPP Infinity Charter School,"Public, Charter, Alternative",625 W 133 St-Rm 308d,New York,10027,New York County,KIPP Infinity Charter School,Yes,No,Yes,1099,81.0,13.5,87.4,14 (1.3%),294 (26.8%),781 (71.1%),2 (0.2%),"$21,139 ",50th Percentile,0,1,0,0,True,0,1
91,161,Is 25 Adrien Block,Public,34-65 192nd St,Flushing,11358,Queens County,New York City Geographic District #25,No,No,No,1049,62.0,16.9,54.4,186 (17.7%),20 (1.9%),247 (23.5%),571 (54.4%),"$12,415 ",50th Percentile,0,1,0,0,False,1,0
92,165,Is 7 Elias Bernstein,Public,1270 Huguenot Ave,Staten Island,10312,Richmond County,New York City Geographic District #31,No,No,No,1165,76.0,15.3,36.7,933 (80.1%),7 (0.6%),128 (11.0%),76 (6.5%),"$14,307 ",50th Percentile,0,1,0,0,False,1,0
93,168,Ps/Is 113 Anthony J Pranzo,Public,78-23 87th St,Glendale,11385,Queens County,New York City Geographic District #24,No,No,No,888,52.0,17.0,46.6,443 (49.9%),14 (1.6%),368 (41.4%),53 (6.0%),"$13,225 ",50th Percentile,0,1,0,0,False,1,0
94,171,Ps 229 Dyker,Public,1400 Benson Ave,Brooklyn,11228,Kings County,New York City Geographic District #20,No,No,No,1242,71.0,17.4,56.8,300 (24.2%),24 (1.9%),154 (12.4%),744 (59.9%),"$12,082 ",50th Percentile,0,1,0,0,False,1,0
95,173,Ps 49 Dorothy Bonawit Kole,Public,63-60 80th St,Middle Village,11379,Queens County,New York City Geographic District #24,No,No,No,1198,71.0,16.8,50.8,647 (54.0%),13 (1.1%),284 (23.7%),233 (19.4%),"$11,685 ",50th Percentile,0,1,0,0,False,1,0
