,ranking,school_name,school_type,address,city,zipcode,county,district,is_charter,is_magnet,is_title_i,total_students,full_time_teachers,student_teacher_ratio,free_lunch_recipient,white,black,hispanic,asian,total_expenditure_per_pupil,ranking_quartile,type_is_Top 25th Percentile,type_is_50th Percentile,type_is_75th Percentile,type_is_Bottom 25th Percentile,lunch_eligibity_high,lunch_eligibity_high_False,lunch_eligibity_high_True
796,2081,Linden Tree Elementary School,"Public, Magnet",1560 Purdy St,Bronx,10462,Bronx County,New York City Geographic District #11,No,Yes,Yes,387,28.0,13.8,76.5,8 (2.1%),55 (14.2%),249 (64.3%),66 (17.1%),,Bottom 25th Percentile,0,0,0,1,True,0,1
797,2083,Ps 270 Johann Dekalb,Public,241 Emerson Pl,Brooklyn,11205,Kings County,New York City Geographic District #13,No,No,Yes,113,14.0,8.0,85.8,1 (0.9%),74 (65.5%),32 (28.3%),2 (1.8%),,Bottom 25th Percentile,0,0,0,1,True,0,1
798,2084,East New York Elementary School Of Excellence,Public,605 Shepherd Ave,Brooklyn,11208,Kings County,New York City Geographic District #19,No,No,Yes,506,43.0,11.7,93.1,4 (0.8%),251 (49.6%),215 (42.5%),19 (3.8%),,Bottom 25th Percentile,0,0,0,1,True,0,1
799,2087,Ps 158 Warwick,Public,400 Ashford St,Brooklyn,11207,Kings County,New York City Geographic District #19,No,No,Yes,518,41.0,12.6,89.0,7 (1.4%),247 (47.7%),250 (48.3%),7 (1.4%),,Bottom 25th Percentile,0,0,0,1,True,0,1
800,2088,Bronx Stem And Arts Academy (The),Public,695 E 182nd St,Bronx,10457,Bronx County,New York City Geographic District #10,No,No,Yes,208,14.0,14.8,85.1,3 (1.4%),65 (31.3%),135 (64.9%),4 (1.9%),,Bottom 25th Percentile,0,0,0,1,True,0,1
801,2089,Ps 188 Island School (The),Public,442 E Houston St,New York,10002,New York County,New York City Geographic District # 1,No,No,Yes,405,34.0,11.9,93.8,15 (3.7%),133 (32.8%),248 (61.2%),2 (0.5%),,Bottom 25th Percentile,0,0,0,1,True,0,1
802,2091,Samara Community School,Public,1550 Vyse Ave,Bronx,10460,Bronx County,New York City Geographic District #12,No,No,Yes,253,17.0,14.8,95.3,1 (0.4%),30 (11.9%),221 (87.4%),1 (0.4%),,Bottom 25th Percentile,0,0,0,1,True,0,1
803,2093,Ps 76 William Hallet,Public,36-36 10th St,Long Island City,11106,Queens County,New York City Geographic District #30,No,No,Yes,442,51.0,8.6,78.5,43 (9.7%),128 (29.0%),228 (51.6%),30 (6.8%),,Bottom 25th Percentile,0,0,0,1,True,0,1
804,2095,Ps 156 Laurelton,Public,229-02 137th Ave,Springfield Gardens,11413,Queens County,New York City Geographic District #29,No,No,Yes,234,14.0,16.7,65.4,3 (1.3%),205 (87.6%),15 (6.4%),2 (0.9%),,Bottom 25th Percentile,0,0,0,1,False,1,0
805,2097,Ps 36 Saint Albans School,Public,187-01 Foch Blvd,Saint Albans,11412,Queens County,New York City Geographic District #29,No,No,Yes,402,28.0,14.3,67.9,2 (0.5%),328 (81.6%),45 (11.2%),7 (1.7%),,Bottom 25th Percentile,0,0,0,1,False,1,0
806,2099,Middle School 394,Public,188 Rochester Ave,Brooklyn,11213,Kings County,New York City Geographic District #17,No,No,Yes,391,30.0,13.0,85.2,3 (0.8%),277 (70.8%),73 (18.7%),18 (4.6%),,Bottom 25th Percentile,0,0,0,1,True,0,1
807,2100,Ps 96 Joseph Lanzetta,Public,216 E 120th St,New York,10035,New York County,New York City Geographic District # 4,No,No,Yes,388,37.0,10.4,93.8,10 (2.6%),93 (24.0%),268 (69.1%),5 (1.3%),,Bottom 25th Percentile,0,0,0,1,True,0,1
