,ranking,school_name,school_type,address,city,zipcode,county,district,is_charter,is_magnet,is_title_i,total_students,full_time_teachers,student_teacher_ratio,free_lunch_recipient,white,black,hispanic,asian,total_expenditure_per_pupil,ranking_quartile,type_is_Top 25th Percentile,type_is_50th Percentile,type_is_75th Percentile,type_is_Bottom 25th Percentile,lunch_eligibity_high,lunch_eligibity_high_False,lunch_eligibity_high_True
0,1,Anderson School (The),Public,100 W 77th St,New York,10024,New York County,New York City Geographic District # 3,No,No,No,521,26.0,20.0,15.0,250 (48.0%),13 (2.5%),47 (9.0%),152 (29.2%),"$10,823 ",Top 25th Percentile,1,0,0,0,False,1,0
1,2,New Explorations Into Sciencetech And Math High School,"Public, Alternative",111 Columbia St,New York,10002,New York County,New York City Geographic District # 1,No,No,No,1752,95.0,18.4,23.5,710 (40.5%),123 (7.0%),202 (11.5%),578 (33.0%),"$10,124 ",Top 25th Percentile,1,0,0,0,False,1,0
2,3,Ps 77 Lower Lab School,Public,1700 3rd Ave,New York,10128,New York County,New York City Geographic District # 2,No,No,No,360,18.0,20.0,10.8,182 (50.6%),1 (0.3%),17 (4.7%),117 (32.5%),"$11,769 ",Top 25th Percentile,1,0,0,0,False,1,0
3,4,Success Academy Charter School-Union Square,"Public, Charter",40 Irving Pl-2nd Fl,New York,10003,New York County,Success Academy Charter School-Union Square,Yes,No,Yes,720,48.0,14.9,44.3,183 (25.4%),150 (20.8%),203 (28.2%),140 (19.4%),"$18,938 ",Top 25th Percentile,1,0,0,0,False,1,0
4,5,Tag Young Scholars,Public,240 E 109th St,New York,10029,New York County,New York City Geographic District # 4,No,No,No,594,24.0,24.7,34.3,101 (17.0%),99 (16.7%),90 (15.2%),231 (38.9%),"$9,029 ",Top 25th Percentile,1,0,0,0,False,1,0
5,6,Success Academy Charter School - Bergen Beach,"Public, Charter",1420 E 68th St-3rd Fl,Brooklyn,11234,Kings County,Success Academy Charter School - Bergen Beach,Yes,No,Yes,553,32.0,17.2,66.0,53 (9.6%),436 (78.8%),39 (7.1%),18 (3.3%),"$16,363 ",Top 25th Percentile,1,0,0,0,False,1,0
6,7,Success Academy Charter School-Williamsburg,"Public, Charter",183 S 3rd St-4th Fl,Brooklyn,11211,Kings County,Success Academy Charter School-Williamsburg,Yes,No,Yes,437,31.0,14.0,58.8,57 (13.0%),99 (22.7%),244 (55.8%),20 (4.6%),"$15,000 ",Top 25th Percentile,1,0,0,0,False,1,0
7,8,Success Academy Charter School-Upper West,"Public, Charter",145 W 84th St-2nd Fl,New York,10024,New York County,Success Academy Charter School-Upper West,Yes,No,Yes,790,60.0,13.1,46.3,200 (25.3%),160 (20.3%),300 (38.0%),97 (12.3%),"$16,445 ",Top 25th Percentile,1,0,0,0,False,1,0
8,9,South Bronx Classical Charter School III,"Public, Charter",3458 Third Ave,Bronx,10456,Bronx County,South Bronx Classical Charter School III,Yes,No,Yes,320,23.0,14.2,85.9,6 (1.9%),161 (50.3%),139 (43.4%),5 (1.6%),"$20,827 ",Top 25th Percentile,1,0,0,0,True,0,1
9,10,30th Avenue School (The) (G & T Citywide),Public,28-37 29th St,Astoria,11102,Queens County,New York City Geographic District #30,No,No,No,512,30.0,17.0,24.8,153 (29.9%),22 (4.3%),51 (10.0%),230 (44.9%),"$10,244 ",Top 25th Percentile,1,0,0,0,False,1,0
10,11,Success Academy Charter School-Cobble Hill,"Public, Charter",284 Baltic St-Lower Level,Brooklyn,11201,Kings County,Success Academy Charter School-Cobble Hill,Yes,No,Yes,333,26.0,12.8,53.2,88 (26.4%),92 (27.6%),105 (31.5%),30 (9.0%),"$16,702 ",Top 25th Percentile,1,0,0,0,False,1,0
11,12,Special Music School,"Public, Alternative",129 W 67th St,New York,10023,New York County,New York City Geographic District # 3,No,No,No,313,24.0,13.0,22.0,144 (46.0%),31 (9.9%),44 (14.1%),45 (14.4%),"$14,918 ",Top 25th Percentile,1,0,0,0,False,1,0
12,13,Success Academy Charter School - Bed Stuy 1,"Public, Charter",70 Tompkins Ave-2nd Fl,Brooklyn,11206,Kings County,Success Academy Charter School - Bed Stuy 1,Yes,No,Yes,766,52.0,14.7,73.0,15 (2.0%),512 (66.8%),210 (27.4%),11 (1.4%),"$17,417 ",Top 25th Percentile,1,0,0,0,True,0,1
13,14,Success Academy Charter School-Prospect Heights,"Public, Charter",801 Park Pl-4th Fl,Brooklyn,11216,Kings County,Success Academy Charter School-Prospect Heights,Yes,No,Yes,630,44.0,14.3,68.1,27 (4.3%),476 (75.6%),102 (16.2%),16 (2.5%),"$19,693 ",Top 25th Percentile,1,0,0,0,False,1,0
14,15,Success Academy Charter School-Harlem 4,"Public, Charter",240 W 113th St-3rd Fl,New York,10026,New York County,Success Academy Charter School-Harlem 4,Yes,No,Yes,424,29.0,14.6,68.2,15 (3.5%),227 (53.5%),151 (35.6%),8 (1.9%),"$14,098 ",Top 25th Percentile,1,0,0,0,False,1,0
15,16,Success Academy Charter School-Bronx 1,"Public, Charter",339 Morris Ave-2nd Fl,Bronx,10451,Bronx County,Success Academy Charter School-Bronx 1,Yes,No,Yes,588,33.0,17.9,87.4,2 (0.3%),330 (56.1%),230 (39.1%),12 (2.0%),"$17,855 ",Top 25th Percentile,1,0,0,0,True,0,1
16,17,Success Academy Charter School-Fort Greene,"Public, Charter",101 Park Ave-3rd Fl,Brooklyn,11205,Kings County,Success Academy Charter School-Fort Greene,Yes,No,Yes,294,22.0,13.3,75.5,13 (4.4%),183 (62.2%),88 (29.9%),4 (1.4%),"$17,992 ",Top 25th Percentile,1,0,0,0,True,0,1
17,18,Success Academy Charter School - Bensonhurst,"Public, Charter",99 Ave P-4th Fl,Brooklyn,11204,Kings County,Success Academy Charter School - Bensonhurst,Yes,No,Yes,509,26.0,19.5,54.8,301 (59.1%),54 (10.6%),66 (13.0%),81 (15.9%),"$12,506 ",Top 25th Percentile,1,0,0,0,False,1,0
18,19,Success Academy Charter School - Rosedale,"Public, Charter",147-65 249th St,Rosedale,11422,Queens County,Success Academy Charter School - Rosedale,Yes,No,Yes,437,22.0,19.8,64.1,2 (0.5%),384 (87.9%),33 (7.6%),5 (1.1%),"$13,998 ",Top 25th Percentile,1,0,0,0,False,1,0
19,20,Success Academy Charter School-Hell's Kitchen,"Public, Charter",439 W 49th St-2nd Fl,New York,10019,New York County,Success Academy Charter School-Hell's Kitchen,Yes,No,Yes,464,28.0,16.5,60.6,70 (15.1%),96 (20.7%),203 (43.8%),82 (17.7%),"$12,504 ",Top 25th Percentile,1,0,0,0,False,1,0
20,21,Success Academy Charter School-Harlem 5,"Public, Charter",301 W 140th St-3rd Fl,New York,10030,New York County,Success Academy Charter School-Harlem 5,Yes,No,Yes,748,55.0,13.6,78.6,14 (1.9%),506 (67.6%),198 (26.5%),8 (1.1%),"$17,461 ",Top 25th Percentile,1,0,0,0,True,0,1
21,22,Success Academy Charter School - Washington Heights,"Public, Charter",701 Fort Washington Ave,New York,10040,New York County,Success Academy Charter School - Washington Heights,Yes,No,Yes,502,30.0,16.7,67.7,21 (4.2%),59 (11.8%),406 (80.9%),10 (2.0%),"$15,422 ",Top 25th Percentile,1,0,0,0,False,1,0
22,23,Success Academy Charter School-Harlem 3,"Public, Charter, Alternative",410 E 100th St-4th Fl,New York,10029,New York County,Success Academy Charter School-Harlem 3,Yes,No,Yes,1111,67.0,16.7,74.5,19 (1.7%),584 (52.6%),366 (32.9%),12 (1.1%),"$24,480 ",Top 25th Percentile,1,0,0,0,True,0,1
23,24,South Bronx Classical Charter School,"Public, Charter",977 Fox St,Bronx,10459,Bronx County,South Bronx Classical Charter School,Yes,No,Yes,503,44.0,11.4,73.6,10 (2.0%),196 (39.0%),281 (55.9%),11 (2.2%),"$16,934 ",Top 25th Percentile,1,0,0,0,True,0,1
24,25,Ps 196 Grand Central Parkway,Public,71-25 113th St,Forest Hills,11375,Queens County,New York City Geographic District #28,No,No,No,1027,59.0,17.4,26.2,431 (42.0%),22 (2.1%),114 (11.1%),389 (37.9%),"$11,814 ",Top 25th Percentile,1,0,0,0,False,1,0
25,26,Success Academy Charter School-Bed Stuy 2,"Public, Charter",211 Throop Ave-3rd Fl,Brooklyn,11206,Kings County,Success Academy Charter School-Bed Stuy 2,Yes,No,Yes,345,24.0,14.3,81.4,6 (1.7%),219 (63.5%),97 (28.1%),5 (1.4%),"$17,784 ",Top 25th Percentile,1,0,0,0,True,0,1
26,27,Success Academy Charter School-Crown Heights,"Public, Charter",330 Crown St-5th Fl,Brooklyn,11225,Kings County,Success Academy Charter School-Crown Heights,Yes,No,Yes,630,40.0,15.7,77.1,7 (1.1%),548 (87.0%),49 (7.8%),3 (0.5%),"$17,043 ",Top 25th Percentile,1,0,0,0,True,0,1
27,28,Success Academy Charter School-Bronx 2,"Public, Charter",450 St Paul's Pl-5th Fl,Bronx,10456,Bronx County,Success Academy Charter School-Bronx 2,Yes,No,Yes,754,41.0,18.3,87.3,10 (1.3%),474 (62.9%),257 (34.1%),6 (0.8%),"$16,154 ",Top 25th Percentile,1,0,0,0,True,0,1
28,29,Icahn Charter School 2,"Public, Charter",1640 Bronxdale Ave,Bronx,10462,Bronx County,Icahn Charter School 2,Yes,No,Yes,325,24.0,13.5,64.9,11 (3.4%),102 (31.4%),188 (57.8%),15 (4.6%),"$18,507 ",Top 25th Percentile,1,0,0,0,False,1,0
29,30,Success Academy Charter School - Bronx 4,"Public, Charter",885 Bolton Ave-3rd Fl,Bronx,10473,Bronx County,Success Academy Charter School - Bronx 4,Yes,No,Yes,548,31.0,17.4,70.4,10 (1.8%),243 (44.3%),268 (48.9%),14 (2.6%),"$12,613 ",Top 25th Percentile,1,0,0,0,False,1,0
30,32,Success Academy Charter School-Harlem 1,"Public, Charter, Alternative",34 W 118th St-2nd Fl,New York,10026,New York County,Success Academy Charter School-Harlem 1,Yes,No,Yes,1225,96.0,12.8,72.9,18 (1.5%),825 (67.3%),266 (21.7%),11 (0.9%),"$21,339 ",Top 25th Percentile,1,0,0,0,True,0,1
31,35,East Side Elementray School-Ps 267,Public,213 E 63rd St,New York,10065,New York County,New York City Geographic District # 2,No,No,No,413,26.0,15.8,12.3,300 (72.6%),4 (1.0%),44 (10.7%),52 (12.6%),"$13,080 ",Top 25th Percentile,1,0,0,0,False,1,0
32,36,Ps 172 Beacon School Of Excellence,Public,825 4th Ave,Brooklyn,11232,Kings County,New York City Geographic District #15,No,No,Yes,583,46.0,12.6,83.9,86 (14.8%),22 (3.8%),426 (73.1%),45 (7.7%),"$17,815 ",Top 25th Percentile,1,0,0,0,True,0,1
33,37,Success Academy Charter School-Harlem 2,"Public, Charter",144 E 128th St-3rd Fl,New York,10035,New York County,Success Academy Charter School-Harlem 2,Yes,No,Yes,708,63.0,11.1,79.8,15 (2.1%),463 (65.4%),217 (30.6%),6 (0.8%),"$18,126 ",Top 25th Percentile,1,0,0,0,True,0,1
34,38,Brooklyn School Of Inquiry,Public,50 Ave P,Brooklyn,11218,Kings County,New York City Geographic District #20,No,No,No,534,28.0,19.0,26.6,356 (66.7%),28 (5.2%),25 (4.7%),107 (20.0%),"$11,330 ",Top 25th Percentile,1,0,0,0,False,1,0
35,40,Success Academy Charter School - Springfield Gardens,"Public, Charter",132-55 Ridgedale St-3rd Fl,Springfield Gardens,11413,Queens County,Success Academy Charter School - Springfield Gardens,Yes,No,Yes,643,31.0,20.7,67.2,2 (0.3%),569 (88.5%),37 (5.8%),8 (1.2%),"$13,450 ",Top 25th Percentile,1,0,0,0,False,1,0
36,43,South Bronx Classical Charter School II,"Public, Charter",333 E 135th St,Bronx,10454,Bronx County,South Bronx Classical Charter School II,Yes,No,Yes,357,32.0,11.1,89.6,6 (1.7%),169 (47.3%),177 (49.6%),0 (0.0%),"$17,668 ",Top 25th Percentile,1,0,0,0,True,0,1
37,44,Ps 166 Richard Rogers School Of The Arts & Science (The),Public,132 W 89th St,New York,10024,New York County,New York City Geographic District # 3,No,No,No,638,37.0,17.2,14.7,366 (57.4%),27 (4.2%),107 (16.8%),78 (12.2%),"$12,383 ",Top 25th Percentile,1,0,0,0,False,1,0
38,45,Success Academy Charter School-Bronx 3,"Public, Charter",1000 Teller Ave-3rd Fl,Bronx,10469,Bronx County,Success Academy Charter School-Bronx 3,Yes,No,Yes,637,45.0,14.2,81.0,4 (0.6%),343 (53.8%),267 (41.9%),4 (0.6%),"$17,009 ",Top 25th Percentile,1,0,0,0,True,0,1
39,48,Ps 203 Oakland Gardens,Public,53-11 Sprngfld Blvd,Bayside,11364,Queens County,New York City Geographic District #26,No,No,No,911,57.0,15.9,41.9,106 (11.6%),15 (1.6%),88 (9.7%),681 (74.8%),"$13,019 ",Top 25th Percentile,1,0,0,0,False,1,0
40,49,Ps 6 Lillie D Blake,Public,45 E 81st St,New York,10028,New York County,New York City Geographic District # 2,No,No,No,669,41.0,16.3,12.1,487 (72.8%),15 (2.2%),41 (6.1%),114 (17.0%),"$14,032 ",Top 25th Percentile,1,0,0,0,False,1,0
41,52,Ps 124 Yung Wing,Public,40 Division St,New York,10002,New York County,New York City Geographic District # 2,No,No,Yes,674,47.0,14.3,52.2,10 (1.5%),0 (0.0%),13 (1.9%),630 (93.5%),"$14,189 ",Top 25th Percentile,1,0,0,0,False,1,0
42,53,Ps 188 Kingsbury,Public,218-12 Hartland Ave,Flushing,11364,Queens County,New York City Geographic District #26,No,No,No,722,43.0,16.7,25.5,206 (28.5%),9 (1.2%),47 (6.5%),432 (59.8%),"$11,541 ",Top 25th Percentile,1,0,0,0,False,1,0
43,54,Ps 39 Henry Bristow,Public,417 6th Ave,Brooklyn,11215,Kings County,New York City Geographic District #15,No,No,No,414,26.0,15.9,13.8,317 (76.6%),19 (4.6%),37 (8.9%),33 (8.0%),"$11,947 ",Top 25th Percentile,1,0,0,0,False,1,0
44,55,Ps 183 Robert L Stevenson,Public,419 E 66th St,New York,10021,New York County,New York City Geographic District # 2,No,No,No,558,36.0,15.4,11.6,374 (67.0%),16 (2.9%),47 (8.4%),87 (15.6%),"$14,572 ",Top 25th Percentile,1,0,0,0,False,1,0
45,56,Ps 199 Jessie Isador Straus,Public,270 W 70th St,New York,10023,New York County,New York City Geographic District # 3,No,No,No,821,53.0,15.4,13.8,514 (62.6%),37 (4.5%),76 (9.3%),130 (15.8%),"$14,065 ",Top 25th Percentile,1,0,0,0,False,1,0
46,58,Ps 89,Public,201 Warren St,New York,10282,New York County,New York City Geographic District # 2,No,No,No,456,33.0,13.8,8.8,270 (59.2%),7 (1.5%),54 (11.8%),85 (18.6%),"$15,254 ",Top 25th Percentile,1,0,0,0,False,1,0
47,59,Ps 40 Augustus Saint-Gaudens,Public,320 E 20th St,New York,10003,New York County,New York City Geographic District # 2,No,No,No,709,42.0,16.8,11.6,440 (62.1%),12 (1.7%),99 (14.0%),85 (12.0%),"$12,435 ",Top 25th Percentile,1,0,0,0,False,1,0
48,61,Ps 290 Manhattan New School,Public,311 E 82nd St,New York,10028,New York County,New York City Geographic District # 2,No,No,No,596,38.0,15.6,13.3,419 (70.3%),18 (3.0%),57 (9.6%),63 (10.6%),"$13,387 ",Top 25th Percentile,1,0,0,0,False,1,0
49,67,Ps 107 John W Kimball,Public,1301 8th Ave,Brooklyn,11215,Kings County,New York City Geographic District #15,No,No,No,553,37.0,14.9,9.2,407 (73.6%),23 (4.2%),60 (10.8%),40 (7.2%),"$12,279 ",Top 25th Percentile,1,0,0,0,False,1,0
50,70,Icahn Charter School 3,"Public, Charter",1500 Pelham Pkwy S,Bronx,10461,Bronx County,Icahn Charter School 3,Yes,No,Yes,322,26.0,12.1,80.4,7 (2.2%),202 (62.7%),97 (30.1%),10 (3.1%),"$16,199 ",Top 25th Percentile,1,0,0,0,True,0,1
51,72,Ps 41 Crocheron,Public,214-43 35th Ave,Bayside,11361,Queens County,New York City Geographic District #26,No,No,No,463,32.0,14.4,37.1,111 (24.0%),6 (1.3%),89 (19.2%),242 (52.3%),"$16,804 ",Top 25th Percentile,1,0,0,0,False,1,0
52,73,Ps 94 David D Porter,Public,41-77 Little Neck Pkwy,Little Neck,11363,Queens County,New York City Geographic District #26,No,No,No,311,25.0,12.4,45.0,56 (18.0%),10 (3.2%),50 (16.1%),183 (58.8%),"$17,197 ",Top 25th Percentile,1,0,0,0,False,1,0
53,74,Ps 59 Beekman Hill International,Public,231-249 E 56th St,New York,10019,New York County,New York City Geographic District # 2,No,No,No,599,41.0,14.6,11.4,348 (58.1%),8 (1.3%),63 (10.5%),119 (19.9%),"$13,081 ",Top 25th Percentile,1,0,0,0,False,1,0
54,75,Ps 321 William Penn,Public,180 7th Ave,Brooklyn,11215,Kings County,New York City Geographic District #15,No,No,No,1384,79.0,17.5,8.6,"1,060 (76.6%)",38 (2.7%),85 (6.1%),83 (6.0%),"$12,136 ",Top 25th Percentile,1,0,0,0,False,1,0
55,78,Ps 41 Greenwich Village,Public,116 W 11th St,New York,10011,New York County,New York City Geographic District # 2,No,No,No,688,40.0,17.1,7.1,476 (69.2%),10 (1.5%),62 (9.0%),51 (7.4%),"$13,243 ",Top 25th Percentile,1,0,0,0,False,1,0
56,82,Ps 150,Public,334 Greenwich St,New York,10013,New York County,New York City Geographic District # 2,No,No,No,190,12.0,15.8,17.4,115 (60.5%),1 (0.5%),18 (9.5%),39 (20.5%),"$14,207 ",Top 25th Percentile,1,0,0,0,False,1,0
57,87,Ps 134,Public,4001 18th Ave,Brooklyn,11218,Kings County,New York City Geographic District #22,No,No,Yes,584,47.0,12.4,88.4,233 (39.9%),21 (3.6%),48 (8.2%),271 (46.4%),"$14,719 ",Top 25th Percentile,1,0,0,0,True,0,1
58,88,Ps 130,Public,200-01 42nd Ave,Bayside,11361,Queens County,New York City Geographic District #25,No,No,No,403,32.0,12.5,43.7,81 (20.1%),13 (3.2%),80 (19.9%),216 (53.6%),"$17,659 ",Top 25th Percentile,1,0,0,0,False,1,0
59,90,Ps 50 Frank Hankinson,Public,200 Adelaide Ave,Staten Island,10306,Richmond County,New York City Geographic District #31,No,No,No,725,45.0,16.1,50.3,455 (62.8%),15 (2.1%),125 (17.2%),114 (15.7%),"$16,204 ",Top 25th Percentile,1,0,0,0,False,1,0
60,93,Ps 130 Hernando De Soto,Public,143 Baxter St,New York,10013,New York County,New York City Geographic District # 2,No,No,Yes,856,54.0,15.8,44.7,24 (2.8%),8 (0.9%),48 (5.6%),746 (87.1%),"$13,493 ",Top 25th Percentile,1,0,0,0,False,1,0
61,94,Ps 253,Public,601 Oceanview Ave,Brooklyn,11235,Kings County,New York City Geographic District #21,No,No,Yes,933,68.0,13.7,79.4,235 (25.2%),4 (0.4%),347 (37.2%),328 (35.2%),"$15,448 ",Top 25th Percentile,1,0,0,0,True,0,1
62,95,Ps 527 East Side School For Social Action,Public,323 E 91st St,New York,10128,New York County,New York City Geographic District # 2,No,No,No,429,29.0,14.7,17.0,250 (58.3%),17 (4.0%),61 (14.2%),51 (11.9%),"$13,399 ",Top 25th Percentile,1,0,0,0,False,1,0
63,96,Ps 158 Bayard Taylor,Public,1458 York Ave,New York,10021,New York County,New York City Geographic District # 2,No,No,No,796,48.0,16.5,11.7,561 (70.5%),16 (2.0%),64 (8.0%),102 (12.8%),"$12,099 ",Top 25th Percentile,1,0,0,0,False,1,0
64,99,Ps 87 William Sherman,Public,160 W 78th St,New York,10024,New York County,New York City Geographic District # 3,No,No,No,895,62.0,14.4,10.2,580 (64.8%),32 (3.6%),128 (14.3%),61 (6.8%),"$14,676 ",Top 25th Percentile,1,0,0,0,False,1,0
65,100,James J Ambrose School (The),Public,80-51 261st St,Floral Park,11004,Queens County,New York City Geographic District #26,No,No,No,774,44.0,17.5,38.1,55 (7.1%),42 (5.4%),96 (12.4%),543 (70.2%),"$11,979 ",Top 25th Percentile,1,0,0,0,False,1,0
66,101,Ps 46 Alley Pond,Public,64-45 218th St,Bayside,11364,Queens County,New York City Geographic District #26,No,No,No,561,48.0,11.6,46.9,75 (13.4%),27 (4.8%),83 (14.8%),355 (63.3%),"$21,471 ",Top 25th Percentile,1,0,0,0,False,1,0
67,102,Ps 205 Alexander Graham Bell,Public,75-25 Bell Blvd,Bayside,11361,Queens County,New York City Geographic District #26,No,No,No,314,23.0,13.6,27.1,82 (26.1%),11 (3.5%),66 (21.0%),135 (43.0%),"$17,663 ",Top 25th Percentile,1,0,0,0,False,1,0
68,113,Ballet Technical/Nyc Public School For Dance,Public,890 Broadway,New York,10003,New York County,New York City Geographic District # 2,No,No,No,141,13.0,10.8,44.7,31 (22.0%),25 (17.7%),35 (24.8%),38 (27.0%),"$15,510 ",Top 25th Percentile,1,0,0,0,False,1,0
69,114,River School (The),Public,425 E 35th St,New York,10016,New York County,New York City Geographic District # 2,No,No,No,340,26.0,13.0,30.0,141 (41.5%),31 (9.1%),43 (12.6%),106 (31.2%),"$13,929 ",Top 25th Percentile,1,0,0,0,False,1,0
70,115,Ps 98 Douglaston School (The),Public,40-20 235th St,Douglaston,11363,Queens County,New York City Geographic District #26,No,No,No,281,23.0,12.2,19.9,130 (46.3%),13 (4.6%),41 (14.6%),79 (28.1%),"$17,645 ",Top 25th Percentile,1,0,0,0,False,1,0
71,117,Battery Park City School,Public,55 Battery Pl,New York,10011,New York County,New York City Geographic District # 2,No,No,No,850,62.0,13.7,15.2,449 (52.8%),34 (4.0%),116 (13.6%),169 (19.9%),"$13,856 ",Top 25th Percentile,1,0,0,0,False,1,0
72,121,Ps 35 Clove Valley School (The),Public,60 Foote Ave,Staten Island,10301,Richmond County,New York City Geographic District #31,No,No,No,410,27.0,15.1,35.6,212 (51.7%),38 (9.3%),87 (21.2%),45 (11.0%),"$14,886 ",Top 25th Percentile,1,0,0,0,False,1,0
73,122,Ps 9 Sarah Anderson,Public,100 W 84th St,New York,10024,New York County,New York City Geographic District # 3,No,No,No,613,41.0,14.9,22.2,362 (59.1%),30 (4.9%),111 (18.1%),51 (8.3%),"$15,271 ",Top 25th Percentile,1,0,0,0,False,1,0
74,124,Icahn Charter School 6,"Public, Charter",1701 Fulton Ave,Bronx,10457,Bronx County,Icahn Charter School 6,Yes,No,Yes,355,29.0,12.2,96.3,2 (0.6%),197 (55.5%),150 (42.3%),3 (0.8%),"$17,715 ",Top 25th Percentile,1,0,0,0,True,0,1
75,125,Ps 8 Shirlee Solomon,Public,112 Lindenwood Rd,Staten Island,10308,Richmond County,New York City Geographic District #31,No,No,No,594,35.0,16.9,35.7,429 (72.2%),8 (1.3%),86 (14.5%),61 (10.3%),"$15,541 ",Top 25th Percentile,1,0,0,0,False,1,0
76,126,Icahn Charter School 7,"Public, Charter",1535 Story Ave,Bronx,10473,Bronx County,Icahn Charter School 7,Yes,No,Yes,263,21.0,12.5,73.0,3 (1.1%),123 (46.8%),125 (47.5%),10 (3.8%),"$19,238 ",Top 25th Percentile,1,0,0,0,True,0,1
77,129,Academy Of Talented Scholars (The),Public,50 Ave P,Brooklyn,11218,Kings County,New York City Geographic District #20,No,No,No,388,50.0,7.7,41.8,229 (59.0%),16 (4.1%),45 (11.6%),90 (23.2%),"$28,460 ",Top 25th Percentile,1,0,0,0,False,1,0
78,130,Ps 234 Independence School,Public,292 Greenwich St,New York,10007,New York County,New York City Geographic District # 2,No,No,No,639,45.0,14.1,10.3,460 (72.0%),11 (1.7%),56 (8.8%),57 (8.9%),"$12,333 ",Top 25th Percentile,1,0,0,0,False,1,0
79,135,Ps 101 School In The Gardens,Public,2 Russell Pl,Forest Hills,11375,Queens County,New York City Geographic District #28,No,No,No,669,42.0,15.9,14.5,277 (41.4%),20 (3.0%),120 (17.9%),194 (29.0%),"$12,824 ",Top 25th Percentile,1,0,0,0,False,1,0
80,141,Ps 29 John M Harrigan,Public,425 Henry St,Brooklyn,11201,Kings County,New York City Geographic District #15,No,No,No,953,59.0,16.1,13.6,707 (74.2%),26 (2.7%),108 (11.3%),43 (4.5%),"$12,230 ",Top 25th Percentile,1,0,0,0,False,1,0
81,143,Brooklyn Prospect Charter School-Central School District 13,"Public, Charter",80 Willoughby St,Brooklyn,11201,Kings County,Brooklyn Prospect Charter School-Central School District 13,Yes,No,Yes,701,61.0,11.4,32.7,249 (35.5%),247 (35.2%),105 (15.0%),32 (4.6%),"$21,091 ",Top 25th Percentile,1,0,0,0,False,1,0
82,145,Ps 58 Carroll (The),Public,330 Smith St,Brooklyn,11231,Kings County,New York City Geographic District #15,No,No,No,1008,64.0,15.7,11.9,749 (74.3%),21 (2.1%),107 (10.6%),31 (3.1%),"$11,927 ",Top 25th Percentile,1,0,0,0,False,1,0
83,146,Walton Avenue School (The),Public,1425 Walton Ave,Bronx,10452,Bronx County,New York City Geographic District # 9,No,No,Yes,494,41.0,12.0,92.9,10 (2.0%),76 (15.4%),397 (80.4%),1 (0.2%),"$17,934 ",Top 25th Percentile,1,0,0,0,True,0,1
84,152,School For Future Leaders (The),Public,942 62nd St,Brooklyn,11219,Kings County,New York City Geographic District #20,No,No,Yes,407,32.0,12.7,95.8,19 (4.7%),0 (0.0%),34 (8.4%),351 (86.2%),"$16,382 ",Top 25th Percentile,1,0,0,0,True,0,1
85,155,Naples Street Elementary School,Public,1055 Targee St,Staten Island,10304,Richmond County,New York City Geographic District #31,No,No,No,327,31.0,10.5,37.3,167 (51.1%),45 (13.8%),90 (27.5%),20 (6.1%),"$21,899 ",Top 25th Percentile,1,0,0,0,False,1,0
86,156,Academic Leadership Charter School,"Public, Charter",677 E 141st St,Bronx,10454,Bronx County,Academic Leadership Charter School,Yes,No,Yes,523,20.0,26.1,92.9,7 (1.3%),260 (49.7%),247 (47.2%),2 (0.4%),"$8,306 ",Top 25th Percentile,1,0,0,0,True,0,1
87,158,Ps 209 Clearview Gardens,Public,16-10 Utopia Pkwy,Whitestone,11357,Queens County,New York City Geographic District #25,No,No,No,560,38.0,14.7,38.8,175 (31.3%),4 (0.7%),98 (17.5%),271 (48.4%),"$14,781 ",Top 25th Percentile,1,0,0,0,False,1,0
88,161,Ps 3 Charrette School,Public,490 Hudson St,New York,10014,New York County,New York City Geographic District # 2,No,No,No,731,44.0,16.5,22.3,462 (63.2%),38 (5.2%),119 (16.3%),64 (8.8%),"$14,997 ",Top 25th Percentile,1,0,0,0,False,1,0
89,168,Ps 184 Shuang Wen,Public,327 Cherry St-2nd Fl,New York,10002,New York County,New York City Geographic District # 1,No,No,Yes,675,51.0,13.2,67.7,51 (7.6%),27 (4.0%),86 (12.7%),467 (69.2%),"$15,486 ",Top 25th Percentile,1,0,0,0,False,1,0
90,170,Spruce Street School,Public,12 Spruce St,New York,10018,New York County,New York City Geographic District # 2,No,No,No,559,38.0,14.6,17.4,296 (53.0%),22 (3.9%),90 (16.1%),92 (16.5%),"$13,913 ",Top 25th Percentile,1,0,0,0,False,1,0
91,172,Ps 171 Patrick Henry,Public,19 E 103rd St,New York,10029,New York County,New York City Geographic District # 4,No,No,Yes,772,48.0,16.0,70.5,30 (3.9%),209 (27.1%),441 (57.1%),58 (7.5%),"$13,780 ",Top 25th Percentile,1,0,0,0,False,1,0
92,173,Ps 8 Robert Fulton,Public,37 Hicks St,Brooklyn,11201,Kings County,New York City Geographic District #13,No,No,No,901,54.0,16.6,19.9,526 (58.4%),127 (14.1%),114 (12.7%),55 (6.1%),"$12,182 ",Top 25th Percentile,1,0,0,0,False,1,0
93,179,Ps 159,Public,205-01 33rd Ave,Bayside,11361,Queens County,New York City Geographic District #26,No,No,No,654,44.0,15.0,46.5,140 (21.4%),7 (1.1%),93 (14.2%),400 (61.2%),"$14,235 ",Top 25th Percentile,1,0,0,0,False,1,0
94,183,Ps 11 Purvis J Behan,Public,419 Waverly Ave,Brooklyn,11238,Kings County,New York City Geographic District #13,No,No,No,900,46.0,19.5,39.6,125 (13.9%),549 (61.0%),124 (13.8%),20 (2.2%),"$10,744 ",Top 25th Percentile,1,0,0,0,False,1,0
