zipcode,walkable_false,walkable_true,health_level_dead,health_level_fair,health_level_good,health_level_poor,ada_access_no,ada_access_yes,ada_access_partial,type_is_active_cleanup_mild_threat,type_is_active_significant_threat,type_is_completed_clean,type_is_maintain_continued_threat,type_is_potential_threat,type_is_felony,type_is_violation,type_is_misdemeanor,danger_level_is_high,danger_level_is_low,lunch_eligibity_high_False,lunch_eligibity_high_True,type_is_Top 25th Percentile,type_is_50th Percentile,type_is_75th Percentile,type_is_Bottom 25th Percentile,lunch_eligibity_high_False,lunch_eligibity_high_True,type_is_Top 25th Percentile,type_is_50th Percentile,type_is_75th Percentile,type_is_Bottom 25th Percentile,lunch_eligibity_high_False,lunch_eligibity_high_True,type_is_Top 25th Percentile,type_is_50th Percentile,type_is_75th Percentile,type_is_Bottom 25th Percentile
10018,0.0,3.0,44.0,38.0,384.0,19.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10019,0.0,77.0,96.0,442.0,1066.0,111.0,6.0,4.0,2.0,1.0,0.0,4.0,0.0,0.0,258.0,219.0,455.0,63.0,869.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,7.0,0.0,0.0,4.0,5.0
10020,0.0,0.0,0.0,26.0,66.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10021,0.0,77.0,74.0,350.0,1368.0,167.0,0.0,2.0,0.0,2.0,0.0,5.0,0.0,1.0,384.0,121.0,664.0,123.0,1046.0,3.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
10022,0.0,80.0,53.0,311.0,1172.0,91.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10023,0.0,104.0,57.0,375.0,1756.0,72.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,339.0,158.0,971.0,151.0,1317.0,4.0,0.0,3.0,0.0,1.0,0.0,3.0,0.0,1.0,1.0,0.0,1.0,3.0,3.0,2.0,1.0,0.0,3.0
10024,0.0,67.0,80.0,370.0,2763.0,98.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,130.0,78.0,191.0,42.0,357.0,5.0,0.0,5.0,0.0,0.0,0.0,4.0,1.0,3.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
10025,0.0,64.0,126.0,576.0,2796.0,198.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,401.0,177.0,891.0,169.0,1300.0,5.0,1.0,3.0,2.0,0.0,1.0,4.0,3.0,0.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
10026,0.0,35.0,60.0,380.0,1285.0,104.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,527.0,374.0,937.0,141.0,1697.0,2.0,7.0,3.0,1.0,2.0,3.0,0.0,6.0,1.0,0.0,2.0,3.0,0.0,2.0,1.0,0.0,0.0,1.0
10027,0.0,23.0,147.0,443.0,2214.0,188.0,2.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,651.0,419.0,1178.0,208.0,2040.0,4.0,11.0,3.0,4.0,4.0,4.0,3.0,9.0,1.0,5.0,2.0,4.0,1.0,4.0,1.0,1.0,2.0,1.0
